seq,machine,type,op,start,end,duration
315,4,1,2,2512.0,2590.0,78.0
316,4,2,2,2590.0,2690.0,100.0
317,4,1,2,2690.0,2768.0,78.0
318,4,2,2,2768.0,2868.0,100.0
319,4,1,2,2868.0,2946.0,78.0
320,4,2,2,2946.0,3046.0,100.0
321,4,0,2,3046.0,3206.0,160.0
322,4,1,2,3206.0,3284.0,78.0
323,4,2,2,3284.0,3384.0,100.0
324,4,1,2,3384.0,3462.0,78.0
325,4,0,2,3462.0,3622.0,160.0
326,4,2,2,3622.0,3722.0,100.0
327,4,1,2,3722.0,3800.0,78.0
328,4,2,2,3800.0,3900.0,100.0
329,4,0,2,3900.0,4060.0,160.0
330,4,0,2,4060.0,4220.0,160.0
331,4,2,2,4220.0,4320.0,100.0
332,4,2,2,4320.0,4420.0,100.0
333,4,1,2,4420.0,4498.0,78.0
334,4,2,2,4498.0,4598.0,100.0
335,4,0,2,4598.0,4758.0,160.0
336,4,2,2,4758.0,4858.0,100.0
337,4,1,2,4858.0,4936.0,78.0
338,4,0,2,4936.0,5096.0,160.0
339,4,1,2,5096.0,5174.0,78.0
340,4,2,2,5174.0,5274.0,100.0
341,4,2,2,5274.0,5374.0,100.0
342,4,1,2,5374.0,5452.0,78.0
343,4,0,2,5452.0,5612.0,160.0
344,4,2,2,5612.0,5712.0,100.0
345,4,1,2,5712.0,5790.0,78.0
346,4,2,2,5790.0,5890.0,100.0
347,4,1,2,5890.0,5968.0,78.0
348,4,2,2,5968.0,6068.0,100.0
349,4,1,2,6068.0,6146.0,78.0
350,4,0,2,6146.0,6306.0,160.0
351,4,1,2,6306.0,6384.0,78.0
352,4,2,2,6384.0,6484.0,100.0
353,4,0,2,6484.0,6644.0,160.0
354,4,2,2,6644.0,6744.0,100.0
355,4,1,2,6744.0,6822.0,78.0
356,4,2,2,6822.0,6922.0,100.0
357,4,1,2,6922.0,7000.0,78.0
358,4,1,2,7000.0,7078.0,78.0
359,4,0,2,7078.0,7238.0,160.0
360,4,2,2,7238.0,7338.0,100.0
361,4,1,2,7338.0,7416.0,78.0
362,4,2,2,7416.0,7516.0,100.0
363,4,0,2,7516.0,7676.0,160.0
364,4,2,2,7676.0,7776.0,100.0
365,4,2,2,7776.0,7876.0,100.0
366,4,0,2,7919.0,8079.0,160.0
